項次,業者名稱,風機編號,縣市,鄉鎮區,地段,地號,X,Y,籌設許可,工作許可,標準,環評
1,京丞風力發電股份有限公司,D01,雲林縣,口湖鄉,下崙段,3311、3314,161616,2612331,已取得,未申請,TWD67,通過
2,京丞風力發電股份有限公司,D02,雲林縣,口湖鄉,下崙段,3322、3352,161575,2611468,已取得,未申請,TWD67,通過
3,京丞風力發電股份有限公司,D03,雲林縣,口湖鄉,下崙段,3361、3362,161925,2611466,已取得,未申請,TWD67,通過
4,京丞風力發電股份有限公司,D04,雲林縣,口湖鄉,新港段,477,161856,2610492,已取得,未申請,TWD67,通過
5,京丞風力發電股份有限公司,D05,雲林縣,口湖鄉,新港段,470,162103,2610549,已取得,未申請,TWD67,通過
6,京丞風力發電股份有限公司,D06,雲林縣,口湖鄉,新港段,800、803,161598,2610237,已取得,未申請,TWD67,通過
7,京丞風力發電股份有限公司,D07,雲林縣,口湖鄉,新港段,465,162579,2610313,已取得,未申請,TWD67,通過
8,京丞風力發電股份有限公司,D08,雲林縣,口湖鄉,新港段,800、807,161578,2609769,已取得,未申請,TWD67,通過
9,京丞風力發電股份有限公司,D09,雲林縣,口湖鄉,新港段,540、541,161898,2609774,已取得,未申請,TWD67,通過
10,京丞風力發電股份有限公司,D10,雲林縣,口湖鄉,新港段,556、558,162202,2609730,已取得,未申請,TWD67,通過
11,京丞風力發電股份有限公司,D11,雲林縣,口湖鄉,新港段,558,162484,2609648,已取得,未申請,TWD67,通過
12,京丞風力發電股份有限公司,D12,雲林縣,口湖鄉,新港段,580-1、580-2,161529,2609112,已取得,未申請,TWD67,通過
13,京丞風力發電股份有限公司,D14,雲林縣,口湖鄉,新港段,597,162216,2609089,已取得,未申請,TWD67,通過
14,京丞風力發電股份有限公司,D15,雲林縣,口湖鄉,新港段,580-1、580-3,161521,2608659,已取得,未申請,TWD67,通過
15,京丞風力發電股份有限公司,E05,雲林縣,口湖鄉,新港段,580-3鄰近未登錄地,161499,2608092,已取得,未申請,TWD67,通過
16,京丞風力發電股份有限公司,E07,雲林縣,口湖鄉,新港段,465,162387,2610424,已取得,未申請,TWD67,通過
17,京丞風力發電股份有限公司,E08,雲林縣,口湖鄉,新港段,727、831,161752,2607961,已取得,未申請,TWD67,通過
18,新源風力發電股份有限公司,E02,雲林縣,崙背鄉,貓兒干段,4鄰近未登錄地,178163,2634583,已取得,未申請,TWD67,免
19,新源風力發電股份有限公司,E08,雲林縣,崙背鄉,新草湖段,218鄰近未登錄地,181054,2634951,已取得,未申請,TWD67,免
20,新源風力發電股份有限公司,E12,雲林縣,崙背鄉,新草湖段,208鄰近未登錄地,181817,2634724,已取得,未申請,TWD67,免
21,新源風力發電股份有限公司,D06,雲林縣,崙背鄉,貓兒干段,4鄰近未登錄地,178980,2634544,已取得,未申請,TWD67,免
22,新源風力發電股份有限公司,D09,雲林縣,崙背鄉,貓兒干段,2鄰近未登錄地,179881,2634618,已取得,未申請,TWD67,免
23,新源風力發電股份有限公司,D11,雲林縣,崙背鄉,貓兒干段,2鄰近未登錄地,180479,2634713,已取得,未申請,TWD67,免
24,易丞風力發電股份有限公司,B08,雲林縣,四湖鄉,林厝寮段,2577,166554,2618632,已取得,未申請,TWD67,免
25,易丞風力發電股份有限公司,B16,雲林縣,四湖鄉,安慶段,35,168755,2617337,已取得,未申請,TWD67,免
